No,Date,Province,Confirmed
1,03-05-20,Eastern Cape,0
2,03-05-20,Free State,0
3,03-05-20,Gauteng,0
4,03-05-20,KwaZulu-Natal,1
5,03-05-20,Limpopo,0
6,03-05-20,Mpumalanga,0
7,03-05-20,Northern Cape,0
8,03-05-20,North West,0
9,03-05-20,Western Cape,0
10,03-07-20,Eastern Cape,0
11,03-07-20,Free State,0
12,03-07-20,Gauteng,1
13,03-07-20,KwaZulu-Natal,1
14,03-07-20,Limpopo,0
15,03-07-20,Mpumalanga,0
16,03-07-20,Northern Cape,0
17,03-07-20,North West,0
18,03-07-20,Western Cape,0
19,03-08-20,Eastern Cape,0
20,03-08-20,Free State,0
21,03-08-20,Gauteng,1
22,03-08-20,KwaZulu-Natal,2
23,03-08-20,Limpopo,0
24,03-08-20,Mpumalanga,0
25,03-08-20,Northern Cape,0
26,03-08-20,North West,0
27,03-08-20,Western Cape,0
28,03-09-20,Eastern Cape,0
29,03-09-20,Free State,0
30,03-09-20,Gauteng,1
31,03-09-20,KwaZulu-Natal,6
32,03-09-20,Limpopo,0
33,03-09-20,Mpumalanga,0
34,03-09-20,Northern Cape,0
35,03-09-20,North West,0
36,03-09-20,Western Cape,0
37,03-11-20,Eastern Cape,0
38,03-11-20,Free State,0
39,03-11-20,Gauteng,5
40,03-11-20,KwaZulu-Natal,7
41,03-11-20,Limpopo,0
42,03-11-20,Mpumalanga,0
43,03-11-20,Northern Cape,0
44,03-11-20,North West,0
45,03-11-20,Western Cape,1
46,03-12-20,Eastern Cape,0
47,03-12-20,Free State,0
48,03-12-20,Gauteng,6
49,03-12-20,KwaZulu-Natal,8
50,03-12-20,Limpopo,0
51,03-12-20,Mpumalanga,1
52,03-12-20,Northern Cape,0
53,03-12-20,North West,0
54,03-12-20,Western Cape,1
55,03-13-20,Eastern Cape,0
56,03-13-20,Free State,0
57,03-13-20,Gauteng,10
58,03-13-20,KwaZulu-Natal,10
59,03-13-20,Limpopo,0
60,03-13-20,Mpumalanga,1
61,03-13-20,Northern Cape,0
62,03-13-20,North West,0
63,03-13-20,Western Cape,3
64,03-14-20,Eastern Cape,0
65,03-14-20,Free State,0
66,03-14-20,Gauteng,17
67,03-14-20,KwaZulu-Natal,11
